fold,method,alpha,type,K,TopN,validation_mse,validation_rmse,validation_precision,validation_recall,regularization_penalty,regularized_score,test_RMSE,test_MAD,test_Precision,test_Recall,lambda
1,acos,7.0,optimized,10,5,1.0950480543365502,1.0464454378210792,0.6216330858960762,0.5329988091025034,0.006,1.1010480543365502,1.031455752080479,0.8286458592319756,0.6094026157652881,0.6721073000248394,0.001
1,acos,7.0,optimized,10,10,1.0950480543365502,1.0464454378210792,0.6019264757864968,0.7235684791281882,0.006,1.1010480543365502,1.031455752080479,0.8286458592319756,0.5965762763217696,0.8423742745215416,0.001
1,acos,7.0,optimized,10,15,1.0950480543365502,1.0464454378210792,0.5965509569963442,0.816424911342189,0.006,1.1010480543365502,1.031455752080479,0.8286458592319756,0.5920754219269596,0.9230213445719004,0.001
1,acos,7.0,optimized,10,20,1.0950480543365502,1.0464454378210792,0.5913034349256192,0.8781875068472899,0.006,1.1010480543365502,1.031455752080479,0.8286458592319756,0.5886620517789897,0.9621193362308398,0.001
1,acos,7.0,optimized,10,25,1.0950480543365502,1.0464454378210792,0.5873500663798307,0.9182544715536912,0.006,1.1010480543365502,1.031455752080479,0.8286458592319756,0.5858215790514775,0.9819529572727889,0.001
1,acos,7.0,optimized,10,30,1.0950480543365502,1.0464454378210792,0.5841096884449706,0.94435735821958,0.006,1.1010480543365502,1.031455752080479,0.8286458592319756,0.5843064493058289,0.9918780516127778,0.001
1,acos,7.0,optimized,10,35,1.0950480543365502,1.0464454378210792,0.5816706210443922,0.9621601942813044,0.006,1.1010480543365502,1.031455752080479,0.8286458592319756,0.5831341648535687,0.9956181009394253,0.001
1,acos,7.0,optimized,10,40,1.0950480543365502,1.0464454378210792,0.5801250537609781,0.9743152901351938,0.006,1.1010480543365502,1.031455752080479,0.8286458592319756,0.5827906244628663,0.9979292862061094,0.001
1,acos,7.0,optimized,10,45,1.0950480543365502,1.0464454378210792,0.5790733061102497,0.9828193847765702,0.006,1.1010480543365502,1.031455752080479,0.8286458592319756,0.5826055811655452,0.9989031200736389,0.001
1,acos,7.0,optimized,10,50,1.0950480543365502,1.0464454378210792,0.5781931220578729,0.9892051692743036,0.006,1.1010480543365502,1.031455752080479,0.8286458592319756,0.5824179753966445,0.9992707678882994,0.001
1,acos,0.05,optimized,20,5,1.0522532173499208,1.0257939448787563,0.7079533404029692,0.5698057451464585,0.00095,1.0532032173499208,1.0169252075893127,0.8187422417194508,0.6787557440791798,0.7171483016258982,0.001
1,acos,0.05,optimized,20,10,1.0522532173499208,1.0257939448787563,0.6610993283845882,0.7625331150852914,0.00095,1.0532032173499208,1.0169252075893127,0.8187422417194508,0.6331616421754279,0.8772103743968779,0.001
1,acos,0.05,optimized,20,15,1.0522532173499208,1.0257939448787563,0.6342321164166339,0.8486075303938944,0.00095,1.0532032173499208,1.0169252075893127,0.8187422417194508,0.6101029935070231,0.9440187038380652,0.001
1,acos,0.05,optimized,20,20,1.0522532173499208,1.0257939448787563,0.6171783023699459,0.9032321427204608,0.00095,1.0532032173499208,1.0169252075893127,0.8187422417194508,0.5976758375690215,0.9745899938603106,0.001
1,acos,0.05,optimized,20,25,1.0522532173499208,1.0257939448787563,0.6042747747573491,0.9360380704054636,0.00095,1.0532032173499208,1.0169252075893127,0.8187422417194508,0.5904875387545526,0.9885047965569175,0.001
1,acos,0.05,optimized,20,30,1.0522532173499208,1.0257939448787563,0.5948201868543026,0.9563873484230538,0.00095,1.0532032173499208,1.0169252075893127,0.8187422417194508,0.5860385101046977,0.9944857661493187,0.001
1,acos,0.05,optimized,20,35,1.0522532173499208,1.0257939448787563,0.590093587261632,0.9721827624438482,0.00095,1.0532032173499208,1.0169252075893127,0.8187422417194508,0.5842855055595222,0.9976716777421346,0.001
1,acos,0.05,optimized,20,40,1.0522532173499208,1.0257939448787563,0.5856923920430567,0.9815394649367232,0.00095,1.0532032173499208,1.0169252075893127,0.8187422417194508,0.5832943360217211,0.9989964494670249,0.001
1,acos,0.05,optimized,20,45,1.0522532173499208,1.0257939448787563,0.5825845586140791,0.987771960587506,0.00095,1.0532032173499208,1.0169252075893127,0.8187422417194508,0.5829354975081869,0.9996067587201449,0.001
1,acos,0.05,optimized,20,50,1.0522532173499208,1.0257939448787563,0.5801867593855505,0.991965656124914,0.00095,1.0532032173499208,1.0169252075893127,0.8187422417194508,0.5826088555663158,0.9997316817675477,0.001
1,acos,0.05,optimized,30,5,1.042249785814258,1.0209063550660549,0.7119830328738069,0.5731372957623104,0.00095,1.043199785814258,1.0097916382490333,0.8115007402108076,0.6793920113114176,0.7161083342767391,0.001
